# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFSFlusher.totalFlushesRetried,1698252678313000000,1698252738365000000,0
IndexesFlusher.totalFlushes,1698252678313000000,1698252738365000000,42
VFSFlusher.totalFlushes,1698252678313000000,1698252738365000000,48
VFSFlusher.totalContentionQuotaSpent,1698252678313000000,1698252738365000000,0
IndexesFlusher.totalContentionQuotaSpent,1698252678313000000,1698252738365000000,115
IndexesFlusher.totalFlushesRetried,1698252678313000000,1698252738365000000,24
IndexesFlusher.totalFlushingTimeUs,1698252678313000000,1698252738365000000,7113336
VFSFlusher.totalFlushingTimeUs,1698252678313000000,1698252738365000000,3615056
FileNameCache.totalMisses,1698252678313000000,1698252738365000000,241795
FileNameCache.fastMisses,1698252678313000000,1698252738365000000,7077248
FileNameCache.queries,1698252678313000000,1698252738365000000,47538824
OS.loadAverage,1698252678313000000,1698252738365000000,3.8330078125
JVM.maxHeapBytes,1698252678313000000,1698252738365000000,2147483648
JVM.GC.collections,1698252678313000000,1698252738365000000,56
JVM.GC.collectionTimesMs,1698252678313000000,1698252738365000000,1643
JVM.threadCount,1698252678313000000,1698252738365000000,129
JVM.usedNativeBytes,1698252678313000000,1698252738365000000,307625824
JVM.usedHeapBytes,1698252678313000000,1698252738365000000,977517056
JVM.totalCpuTimeMs,1698252678313000000,1698252738365000000,192110
JVM.maxNativeBytes,1698252678313000000,1698252738365000000,-1
workspaceModel.load.cache.from.file.ms,1698252678313000000,1698252738365000000,130
workspaceModel.moduleBridge.update.option.ms,1698252678313000000,1698252738365000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1698252678313000000,1698252738365000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698252678313000000,1698252738365000000,44
workspaceModel.moduleManagerBridge.get.modules.ms,1698252678313000000,1698252738365000000,3
workspaceModel.mutableEntityStorage.has.same.entities.ms,1698252678313000000,1698252738365000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1698252678313000000,1698252738365000000,1
