# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushesRetried,1697467015148000000,1697467075188000000,2
IndexesFlusher.totalContentionQuotaSpent,1697467015148000000,1697467075188000000,15
VFSFlusher.totalFlushesRetried,1697467015148000000,1697467075188000000,0
VFSFlusher.totalContentionQuotaSpent,1697467015148000000,1697467075188000000,0
IndexesFlusher.totalFlushingTimeUs,1697467015148000000,1697467075188000000,1349843
VFSFlusher.totalFlushes,1697467015148000000,1697467075188000000,4
VFSFlusher.totalFlushingTimeUs,1697467015148000000,1697467075188000000,53930
IndexesFlusher.totalFlushes,1697467015148000000,1697467075188000000,152
FlushQueue.queueSizeAvg,1697467015148000000,1697467075188000000,0.30736163353036
FlushQueue.waitingTimeMaxNs,1697467015148000000,1697467075188000000,2097151999
FlushQueue.tasksExecuted,1697467015148000000,1697467075188000000,1861
FlushQueue.queueSizeMax,1697467015148000000,1697467075188000000,20
FlushQueue.executionTime90PNs,1697467015148000000,1697467075188000000,2228223
AWTEventQueue.dispatchTimeTotalNS,1697467015148000000,1697467075188000000,10425403622
FlushQueue.queueSize90P,1697467015148000000,1697467075188000000,1
FlushQueue.executionTimeMaxNs,1697467015148000000,1697467075188000000,2097151999
FlushQueue.waitingTimeAvgNs,1697467015148000000,1697467075188000000,1.833298156260075E7
FlushQueue.executionTimeAvgNs,1697467015148000000,1697467075188000000,2476755.705534659
AWTEventQueue.dispatchTime90PNs,1697467015148000000,1697467075188000000,7405567
AWTEventQueue.dispatchTimeMaxNs,1697467015148000000,1697467075188000000,2097151999
FlushQueue.waitingTime90PNs,1697467015148000000,1697467075188000000,4587519
AWTEventQueue.dispatchTimeAvgNs,1697467015148000000,1697467075188000000,5348476.2565418165
AWTEventQueue.eventsDispatched,1697467015148000000,1697467075188000000,1949
FileNameCache.fastMisses,1697467015148000000,1697467075188000000,273
FileNameCache.totalMisses,1697467015148000000,1697467075188000000,185
FileNameCache.queries,1697467015148000000,1697467075188000000,11472
DirectByteBufferAllocator.disposed,1697467015148000000,1697467075188000000,0
FilePageCache.pageLoads,1697467015148000000,1697467075188000000,219
FilePageCache.maxRegisteredFiles,1697467015148000000,1697467075188000000,202
FilePageCache.uncachedFileAccess,1697467015148000000,1697467075188000000,41
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1697467015148000000,1697467075188000000,297828352
StreamlinedBlobStorage.recordsDeleted,1697467015148000000,1697467075188000000,3087
StorageLockContext.competingThreads.avg,1697467015148000000,1697467075188000000,0.0
FilePageCache.maxCacheSizeInBytes,1697467015148000000,1697467075188000000,297828352
DirectByteBufferAllocator.reclaimed,1697467015148000000,1697467075188000000,3
StorageLockContext.competingThreads.max,1697467015148000000,1697467075188000000,0
FilePageCache.pageFastCacheHits,1697467015148000000,1697467075188000000,173535
FilePageCache.pageHits,1697467015148000000,1697467075188000000,93051
FilePageCache.pageLoadsAboveSizeThreshold,1697467015148000000,1697467075188000000,0
StreamlinedBlobStorage.recordsRelocated,1697467015148000000,1697467075188000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1697467015148000000,1697467075188000000,0
FilePageCache.totalPageLoadsUs,1697467015148000000,1697467075188000000,540742
StorageLockContext.competingThreads.90P,1697467015148000000,1697467075188000000,0
DirectByteBufferAllocator.hits,1697467015148000000,1697467075188000000,3
FilePageCache.capacityInBytes,1697467015148000000,1697467075188000000,524288000
StreamlinedBlobStorage.recordsAllocated,1697467015148000000,1697467075188000000,2313246
DirectByteBufferAllocator.misses,1697467015148000000,1697467075188000000,216
FilePageCache.disposedBuffers,1697467015148000000,1697467075188000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1697467015148000000,1697467075188000000,40298966
FilePageCache.totalPageDisposalsUs,1697467015148000000,1697467075188000000,4676
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1697467015148000000,1697467075188000000,166357614
IndexesFlusher.totalFlushesRetried,1697467075188000000,1697467135183000000,0
IndexesFlusher.totalContentionQuotaSpent,1697467075188000000,1697467135183000000,0
VFSFlusher.totalFlushesRetried,1697467075188000000,1697467135183000000,0
VFSFlusher.totalContentionQuotaSpent,1697467075188000000,1697467135183000000,0
IndexesFlusher.totalFlushingTimeUs,1697467075188000000,1697467135183000000,1062962
VFSFlusher.totalFlushes,1697467075188000000,1697467135183000000,0
VFSFlusher.totalFlushingTimeUs,1697467075188000000,1697467135183000000,0
IndexesFlusher.totalFlushes,1697467075188000000,1697467135183000000,174
FlushQueue.queueSizeAvg,1697467075188000000,1697467135183000000,0.11884469696969698
FlushQueue.waitingTimeMaxNs,1697467075188000000,1697467135183000000,29884415
FlushQueue.tasksExecuted,1697467075188000000,1697467135183000000,2112
FlushQueue.queueSizeMax,1697467075188000000,1697467135183000000,3
FlushQueue.executionTime90PNs,1697467075188000000,1697467135183000000,1171455
AWTEventQueue.dispatchTimeTotalNS,1697467075188000000,1697467135183000000,3538640282
FlushQueue.queueSize90P,1697467075188000000,1697467135183000000,1
FlushQueue.executionTimeMaxNs,1697467075188000000,1697467135183000000,22151167
FlushQueue.waitingTimeAvgNs,1697467075188000000,1697467135183000000,876131.696969697
FlushQueue.executionTimeAvgNs,1697467075188000000,1697467135183000000,517366.7803030303
AWTEventQueue.dispatchTime90PNs,1697467075188000000,1697467135183000000,4882431
AWTEventQueue.dispatchTimeMaxNs,1697467075188000000,1697467135183000000,39845887
FlushQueue.waitingTime90PNs,1697467075188000000,1697467135183000000,1966079
AWTEventQueue.dispatchTimeAvgNs,1697467075188000000,1697467135183000000,1707961.5659739005
AWTEventQueue.eventsDispatched,1697467075188000000,1697467135183000000,2069
FileNameCache.fastMisses,1697467075188000000,1697467135183000000,0
FileNameCache.totalMisses,1697467075188000000,1697467135183000000,0
FileNameCache.queries,1697467075188000000,1697467135183000000,0
DirectByteBufferAllocator.disposed,1697467075188000000,1697467135183000000,0
FilePageCache.pageLoads,1697467075188000000,1697467135183000000,0
FilePageCache.maxRegisteredFiles,1697467075188000000,1697467135183000000,202
FilePageCache.uncachedFileAccess,1697467075188000000,1697467135183000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1697467075188000000,1697467135183000000,297828352
StreamlinedBlobStorage.recordsDeleted,1697467075188000000,1697467135183000000,0
StorageLockContext.competingThreads.avg,1697467075188000000,1697467135183000000,0.0
FilePageCache.maxCacheSizeInBytes,1697467075188000000,1697467135183000000,297828352
DirectByteBufferAllocator.reclaimed,1697467075188000000,1697467135183000000,0
StorageLockContext.competingThreads.max,1697467075188000000,1697467135183000000,0
FilePageCache.pageFastCacheHits,1697467075188000000,1697467135183000000,0
