# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFSFlusher.totalFlushes,1699299998879000000,1699300058914000000,6
IndexesFlusher.totalFlushingTimeUs,1699299998879000000,1699300058914000000,2335585
IndexesFlusher.totalContentionQuotaSpent,1699299998879000000,1699300058914000000,14
IndexesFlusher.totalFlushesRetried,1699299998879000000,1699300058914000000,5
IndexesFlusher.totalFlushes,1699299998879000000,1699300058914000000,153
VFSFlusher.totalContentionQuotaSpent,1699299998879000000,1699300058914000000,0
VFSFlusher.totalFlushesRetried,1699299998879000000,1699300058914000000,0
VFSFlusher.totalFlushingTimeUs,1699299998879000000,1699300058914000000,403205
FileNameCache.queries,1699299998879000000,1699300058914000000,11472
FileNameCache.totalMisses,1699299998879000000,1699300058914000000,185
FileNameCache.fastMisses,1699299998879000000,1699300058914000000,273
DirectByteBufferAllocator.reclaimed,1699299998879000000,1699300058914000000,3
StorageLockContext.competingThreads.90P,1699299998879000000,1699300058914000000,0
StreamlinedBlobStorage.recordsDeleted,1699299998879000000,1699300058914000000,149934
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1699299998879000000,1699300058914000000,313693875
FilePageCache.totalPageLoadsUs,1699299998879000000,1699300058914000000,805132
StreamlinedBlobStorage.recordsRelocated,1699299998879000000,1699300058914000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1699299998879000000,1699300058914000000,0
FilePageCache.disposedBuffers,1699299998879000000,1699300058914000000,3
FilePageCache.totalPageDisposalsUs,1699299998879000000,1699300058914000000,4474
StorageLockContext.competingThreads.max,1699299998879000000,1699300058914000000,1
FilePageCache.pageFastCacheHits,1699299998879000000,1699300058914000000,1102073
FilePageCache.pageHits,1699299998879000000,1699300058914000000,326323
FilePageCache.uncachedFileAccess,1699299998879000000,1699300058914000000,41
StreamlinedBlobStorage.recordsAllocated,1699299998879000000,1699300058914000000,4526033
FilePageCache.maxRegisteredFiles,1699299998879000000,1699300058914000000,202
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1699299998879000000,1699300058914000000,494960640
DirectByteBufferAllocator.disposed,1699299998879000000,1699300058914000000,0
FilePageCache.pageLoads,1699299998879000000,1699300058914000000,335
FilePageCache.maxCacheSizeInBytes,1699299998879000000,1699300058914000000,494960640
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1699299998879000000,1699300058914000000,72338995
DirectByteBufferAllocator.misses,1699299998879000000,1699300058914000000,332
FilePageCache.pageLoadsAboveSizeThreshold,1699299998879000000,1699300058914000000,0
StorageLockContext.competingThreads.avg,1699299998879000000,1699300058914000000,0.008695652173913044
FilePageCache.capacityInBytes,1699299998879000000,1699300058914000000,524288000
DirectByteBufferAllocator.hits,1699299998879000000,1699300058914000000,3
FlushQueue.waitingTimeMaxNs,1699299998879000000,1699300058914000000,2071986175
FlushQueue.waitingTime90PNs,1699299998879000000,1699300058914000000,4161535
AWTEventQueue.dispatchTimeAvgNs,1699299998879000000,1699300058914000000,5812476.692894891
FlushQueue.tasksExecuted,1699299998879000000,1699300058914000000,1750
AWTEventQueue.dispatchTimeMaxNs,1699299998879000000,1699300058914000000,2399141887
FlushQueue.queueSizeAvg,1699299998879000000,1699300058914000000,0.2862857142857143
FlushQueue.executionTime90PNs,1699299998879000000,1699300058914000000,2375679
AWTEventQueue.dispatchTime90PNs,1699299998879000000,1699300058914000000,7864319
FlushQueue.queueSize90P,1699299998879000000,1699300058914000000,1
FlushQueue.queueSizeMax,1699299998879000000,1699300058914000000,19
FlushQueue.executionTimeAvgNs,1699299998879000000,1699300058914000000,2980002.7794285715
AWTEventQueue.dispatchTimeTotalNS,1699299998879000000,1699300058914000000,9896806869
AWTEventQueue.eventsDispatched,1699299998879000000,1699300058914000000,1703
FlushQueue.executionTimeMaxNs,1699299998879000000,1699300058914000000,2399141887
FlushQueue.waitingTimeAvgNs,1699299998879000000,1699300058914000000,1.765277052342857E7
VFSFlusher.totalFlushes,1699300058914000000,1699300118903000000,0
IndexesFlusher.totalFlushingTimeUs,1699300058914000000,1699300118903000000,1524527
IndexesFlusher.totalContentionQuotaSpent,1699300058914000000,1699300118903000000,0
IndexesFlusher.totalFlushesRetried,1699300058914000000,1699300118903000000,0
IndexesFlusher.totalFlushes,1699300058914000000,1699300118903000000,174
VFSFlusher.totalContentionQuotaSpent,1699300058914000000,1699300118903000000,0
VFSFlusher.totalFlushesRetried,1699300058914000000,1699300118903000000,0
VFSFlusher.totalFlushingTimeUs,1699300058914000000,1699300118903000000,0
FileNameCache.queries,1699300058914000000,1699300118903000000,0
FileNameCache.totalMisses,1699300058914000000,1699300118903000000,0
FileNameCache.fastMisses,1699300058914000000,1699300118903000000,0
DirectByteBufferAllocator.reclaimed,1699300058914000000,1699300118903000000,0
StorageLockContext.competingThreads.90P,1699300058914000000,1699300118903000000,0
StreamlinedBlobStorage.recordsDeleted,1699300058914000000,1699300118903000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1699300058914000000,1699300118903000000,0
FilePageCache.totalPageLoadsUs,1699300058914000000,1699300118903000000,0
StreamlinedBlobStorage.recordsRelocated,1699300058914000000,1699300118903000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1699300058914000000,1699300118903000000,0
FilePageCache.disposedBuffers,1699300058914000000,1699300118903000000,0
FilePageCache.totalPageDisposalsUs,1699300058914000000,1699300118903000000,0
StorageLockContext.competingThreads.max,1699300058914000000,1699300118903000000,0
FilePageCache.pageFastCacheHits,1699300058914000000,1699300118903000000,0
FilePageCache.pageHits,1699300058914000000,1699300118903000000,0
FilePageCache.uncachedFileAccess,1699300058914000000,1699300118903000000,0
StreamlinedBlobStorage.recordsAllocated,1699300058914000000,1699300118903000000,0
FilePageCache.maxRegisteredFiles,1699300058914000000,1699300118903000000,202
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1699300058914000000,1699300118903000000,494960640
DirectByteBufferAllocator.disposed,1699300058914000000,1699300118903000000,0
FilePageCache.pageLoads,1699300058914000000,1699300118903000000,0
FilePageCache.maxCacheSizeInBytes,1699300058914000000,1699300118903000000,494960640
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1699300058914000000,1699300118903000000,0
DirectByteBufferAllocator.misses,1699300058914000000,1699300118903000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1699300058914000000,1699300118903000000,0
StorageLockContext.competingThreads.avg,1699300058914000000,1699300118903000000,0.0
FilePageCache.capacityInBytes,1699300058914000000,1699300118903000000,524288000
DirectByteBufferAllocator.hits,1699300058914000000,1699300118903000000,0
