# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalContentionQuotaSpent,1698132382796000000,1698132442823000000,23
VFSFlusher.totalContentionQuotaSpent,1698132382796000000,1698132442823000000,6
VFSFlusher.totalFlushingTimeUs,1698132382796000000,1698132442823000000,918880
VFSFlusher.totalFlushes,1698132382796000000,1698132442823000000,32
JVM.GC.collectionTimesMs,1698132382796000000,1698132442823000000,1276
JVM.maxHeapBytes,1698132382796000000,1698132442823000000,2147483648
JVM.totalCpuTimeMs,1698132382796000000,1698132442823000000,163974
JVM.usedHeapBytes,1698132382796000000,1698132442823000000,987092472
JVM.maxNativeBytes,1698132382796000000,1698132442823000000,-1
JVM.usedNativeBytes,1698132382796000000,1698132442823000000,306588048
JVM.GC.collections,1698132382796000000,1698132442823000000,68
OS.loadAverage,1698132382796000000,1698132442823000000,4.28125
JVM.threadCount,1698132382796000000,1698132442823000000,133
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1698132382796000000,1698132442823000000,46533692
FilePageCache.totalPageLoadsUs,1698132382796000000,1698132442823000000,1072521
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1698132382796000000,1698132442823000000,534831104
DirectByteBufferAllocator.disposed,1698132382796000000,1698132442823000000,0
DirectByteBufferAllocator.reclaimed,1698132382796000000,1698132442823000000,76
FilePageCache.pageFastCacheHits,1698132382796000000,1698132442823000000,6399533
StorageLockContext.competingThreads.max,1698132382796000000,1698132442823000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1698132382796000000,1698132442823000000,39
StreamlinedBlobStorage.recordsAllocated,1698132382796000000,1698132442823000000,2412877
FilePageCache.maxCacheSizeInBytes,1698132382796000000,1698132442823000000,532701184
FilePageCache.totalPageDisposalsUs,1698132382796000000,1698132442823000000,9634
FilePageCache.pageHits,1698132382796000000,1698132442823000000,799548
FilePageCache.pageLoads,1698132382796000000,1698132442823000000,382
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698132382796000000,1698132442823000000,10485760
DirectByteBufferAllocator.hits,1698132382796000000,1698132442823000000,66
FilePageCache.maxRegisteredFiles,1698132382796000000,1698132442823000000,288
StorageLockContext.competingThreads.avg,1698132382796000000,1698132442823000000,0.008695652173913044
FilePageCache.disposedBuffers,1698132382796000000,1698132442823000000,76
FilePageCache.capacityInBytes,1698132382796000000,1698132442823000000,524288000
StreamlinedBlobStorage.recordsDeleted,1698132382796000000,1698132442823000000,23122
DirectByteBufferAllocator.misses,1698132382796000000,1698132442823000000,355
FilePageCache.uncachedFileAccess,1698132382796000000,1698132442823000000,250
StorageLockContext.competingThreads.90P,1698132382796000000,1698132442823000000,0
StreamlinedBlobStorage.recordsRelocated,1698132382796000000,1698132442823000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1698132382796000000,1698132442823000000,172119215
NonBlockingReadAction.failedExecutionsCount,1698132382796000000,1698132442823000000,0
FlushQueue.queueSizeAvg,1698132382796000000,1698132442823000000,60.17611159546644
AWTEventQueue.dispatchTimeAvgNs,1698132382796000000,1698132442823000000,1.977141640397065E7
AWTEventQueue.eventsDispatched,1698132382796000000,1698132442823000000,2317
AWTEventQueue.dispatchTimeMaxNs,1698132382796000000,1698132442823000000,2248146943
FlushQueue.waitingTime90PNs,1698132382796000000,1698132442823000000,4026531839
NonBlockingReadAction.finalizedExecutionTimeUs,1698132382796000000,1698132442823000000,2173151
AWTEventQueue.dispatchTime90PNs,1698132382796000000,1698132442823000000,37224447
FlushQueue.executionTimeAvgNs,1698132382796000000,1698132442823000000,8096592.375762859
FlushQueue.executionTime90PNs,1698132382796000000,1698132442823000000,8650751
NonBlockingReadAction.finalizedExecutionsCount,1698132382796000000,1698132442823000000,51
FlushQueue.executionTimeMaxNs,1698132382796000000,1698132442823000000,2248146943
NonBlockingReadAction.failedExecutionTimeUs,1698132382796000000,1698132442823000000,0
FlushQueue.waitingTimeAvgNs,1698132382796000000,1698132442823000000,1.5256717957593722E9
AWTEventQueue.dispatchTimeTotalNS,1698132382796000000,1698132442823000000,46005208214
FlushQueue.queueSize90P,1698132382796000000,1698132442823000000,145
FlushQueue.waitingTimeMaxNs,1698132382796000000,1698132442823000000,6274678783
FlushQueue.queueSizeMax,1698132382796000000,1698132442823000000,188
FlushQueue.tasksExecuted,1698132382796000000,1698132442823000000,2294
FileNameCache.totalMisses,1698132382796000000,1698132442823000000,1894053
FileNameCache.queries,1698132382796000000,1698132442823000000,28076793
FileNameCache.fastMisses,1698132382796000000,1698132442823000000,6884007
workspaceModel.update.unloaded.entities.ms,1698132442823000000,1698132502813000000,0
workspaceModel.updates.count,1698132442823000000,1698132502813000000,3
workspaceModel.replace.project.model.ms,1698132442823000000,1698132502813000000,0
workspaceModel.collect.changes.ms,1698132442823000000,1698132502813000000,0
workspaceModel.loading.from.cache.ms,1698132442823000000,1698132502813000000,196
workspaceModel.updates.precise.ms,1698132442823000000,1698132502813000000,103
workspaceModel.init.bridges.ms,1698132442823000000,1698132502813000000,2
workspaceModel.loading.total.ms,1698132442823000000,1698132502813000000,216
workspaceModel.initializing.ms,1698132442823000000,1698132502813000000,2
workspaceModel.check.recursive.update.ms,1698132442823000000,1698132502813000000,2
workspaceModel.pre.handlers.ms,1698132442823000000,1698132502813000000,2
workspaceModel.updates.ms,1698132442823000000,1698132502813000000,204
workspaceModel.to.snapshot.ms,1698132442823000000,1698132502813000000,4
jps.global.get.libraries.ms,1698132442823000000,1698132502813000000,2
jps.facet.change.listener.before.change.events.ms,1698132442823000000,1698132502813000000,0
workspaceModel.moduleBridge.before.changed.ms,1698132442823000000,1698132502813000000,0
workspaceModel.global.apply.state.to.project.ms,1698132442823000000,1698132502813000000,84
workspaceModel.moduleManagerBridge.get.modules.ms,1698132442823000000,1698132502813000000,4
jps.library.entities.serializer.save.entities.ms,1698132442823000000,1698132502813000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1698132442823000000,1698132502813000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1698132442823000000,1698132502813000000,0
workspaceModel.global.updates.count,1698132442823000000,1698132502813000000,0
